"id","name","desc","include","createdBy","updatedBy","created_at","updated_at"
37,Information Security Roles & Responsibilities,"",1,1,1,"2025-03-19 11:33:35.964","2025-03-19 11:33:35.964"
38,Management Review Procedure and Records,"",1,1,1,"2025-03-19 11:59:44.177","2025-03-19 11:59:44.177"
39,Secure Software Development Procedure,"",1,1,1,"2025-03-20 06:46:32.996","2025-03-20 06:46:32.996"
40,Supplier Security Procedures,"",1,1,1,"2025-03-20 08:06:14.195","2025-03-20 08:06:14.195"
41,Network Security Policy,"",1,1,1,"2025-03-20 08:45:45.596","2025-03-20 08:45:45.596"
42,Cloud Security Policy,"",1,1,1,"2025-03-20 09:09:01.199","2025-03-20 09:09:01.199"
43,Vulnerability Management Policy,"",1,1,1,"2025-03-20 09:30:59.366","2025-03-20 09:30:59.366"
45,Asset Management Policy,"",1,1,1,"2025-03-21 07:43:39.561","2025-03-21 07:43:39.561"
46,Physical Security Policy,"",1,1,1,"2025-03-21 08:15:34.626","2025-03-21 08:15:34.626"
47,Business Continuity Procedures,"",1,1,1,"2025-03-21 08:29:14.776","2025-03-21 08:29:14.776"
48,Incident Management Procedure,"",1,1,1,"2025-03-21 09:11:45.634","2025-03-21 09:11:45.634"
49,Acceptable Use of Assets Policy,"",1,1,1,"2025-03-21 10:37:39.587","2025-03-21 10:37:39.587"
50,Statement of Applicability (SoA),"",1,1,1,"2025-03-24 07:49:30.824","2025-03-24 07:49:30.824"
52,Information Security Policy,"",1,1,1,"2025-03-25 07:51:54.408","2025-03-25 07:51:54.408"
53,ISMS Scope Statement,"",1,1,1,"2025-03-25 08:11:01.220","2025-03-25 08:11:01.220"
57,"Statutory, Regulatory, and Contractual Requirements","",1,1,1,"2025-03-26 09:20:48.651","2025-03-26 09:20:48.651"
59,Access Control Policy,"",1,1,1,"2025-03-26 12:51:15.158","2025-03-26 12:51:15.158"
60,Data Backup Policy and Procedure,"",1,1,1,"2025-03-27 09:30:08.378","2025-03-27 09:30:08.378"
